Store,Date,Weekly_Sales,Holiday_Flag,Temperature,CPI,Unemployment,Fuel_Price
1,05-02-2010,1643690.9,0,42.31,211.0963582,8.106,2.572
1,12-02-2010,1641957.44,1,38.51,211.2421698,8.106,2.548
1,19-02-2010,1611968.17,0,39.93,211.2891429,8.106,2.514
1,26-02-2010,1409727.59,0,46.63,211.3196429,8.106,2.561
1,05-03-2010,1554806.68,0,46.5,211.3501429,8.106,2.625
1,12-03-2010,1439541.59,0,57.79,211.3806429,8.106,2.667
1,19-03-2010,1472515.79,0,54.58,211.215635,8.106,2.72
1,26-03-2010,1404429.92,0,51.45,211.0180424,8.106,2.732
1,02-04-2010,1594968.28,0,62.27,210.8204499,7.808,2.719
1,09-04-2010,1545418.53,0,65.86,210.6228574,7.808,2.77
1,16-04-2010,1466058.28,0,66.32,210.4887,7.808,2.808
1,23-04-2010,1391256.12,0,64.84,210.4391228,7.808,2.795
1,30-04-2010,1425100.71,0,67.41,210.3895456,7.808,2.78
1,07-05-2010,1603955.12,0,72.55,210.3399684,7.808,2.835
1,14-05-2010,1494251.5,0,74.78,210.3374261,7.808,2.854
1,21-05-2010,1399662.07,0,76.44,210.6170934,7.808,2.826
1,28-05-2010,1432069.95,0,80.44,210.8967606,7.808,2.759
1,04-06-2010,1615524.71,0,80.69,211.1764278,7.808,2.705
1,11-06-2010,1542561.09,0,80.43,211.4560951,7.808,2.668
1,18-06-2010,1503284.06,0,84.11,211.4537719,7.808,2.637
1,25-06-2010,1422711.6,0,84.34,211.3386526,7.808,2.653
1,02-07-2010,1492418.14,0,80.91,211.2235333,7.787,2.669
1,09-07-2010,1546074.18,0,80.48,211.108414,7.787,2.642
1,16-07-2010,1448938.92,0,83.15,211.1003854,7.787,2.623
1,23-07-2010,1385065.2,0,83.36,211.2351443,7.787,2.608
1,30-07-2010,1371986.6,0,81.84,211.3699032,7.787,2.64
1,06-08-2010,1605491.78,0,87.16,211.5046621,7.787,2.627
1,13-08-2010,1508237.76,0,87,211.6394211,7.787,2.692
1,20-08-2010,1513080.49,0,86.65,211.6033633,7.787,2.664
1,27-08-2010,1449142.92,0,85.22,211.5673056,7.787,2.619
1,03-09-2010,1540163.53,0,81.21,211.5312479,7.787,2.577
1,10-09-2010,1507460.69,1,78.69,211.4951902,7.787,2.565
1,17-09-2010,1430378.67,0,82.11,211.5224596,7.787,2.582
1,24-09-2010,1351791.03,0,80.94,211.5972246,7.787,2.624
1,01-10-2010,1453329.5,0,71.89,211.6719895,7.838,2.603
1,08-10-2010,1508239.93,0,63.93,211.7467544,7.838,2.633
1,15-10-2010,1459409.1,0,67.18,211.8137436,7.838,2.72
1,22-10-2010,1345454,0,69.86,211.8612937,7.838,2.725
1,29-10-2010,1384209.22,0,69.64,211.9088438,7.838,2.716
1,05-11-2010,1551659.28,0,58.74,211.9563939,7.838,2.689
1,12-11-2010,1494479.49,0,59.61,212.003944,7.838,2.728
1,19-11-2010,1483784.18,0,51.41,211.8896737,7.838,2.771
1,26-11-2010,1955624.11,1,64.52,211.7484333,7.838,2.735
1,03-12-2010,1548033.78,0,49.27,211.607193,7.838,2.708
1,10-12-2010,1682614.26,0,46.33,211.4659526,7.838,2.843
1,17-12-2010,1891034.93,0,49.84,211.4053124,7.838,2.869
1,24-12-2010,2387950.2,0,52.33,211.4051222,7.838,2.886
1,31-12-2010,1367320.01,1,48.43,211.4049321,7.838,2.943
1,07-01-2011,1444732.28,0,48.27,211.4047419,7.742,2.976
1,14-01-2011,1391013.96,0,35.4,211.4574109,7.742,2.983
1,21-01-2011,1327405.42,0,44.04,211.8272343,7.742,3.016
1,28-01-2011,1316899.31,0,43.83,212.1970577,7.742,3.01
1,04-02-2011,1606629.58,0,42.27,212.5668812,7.742,2.989
1,11-02-2011,1649614.93,1,36.39,212.9367046,7.742,3.022
1,18-02-2011,1686842.78,0,57.36,213.2478853,7.742,3.045
1,25-02-2011,1456800.28,0,62.9,213.535609,7.742,3.065
1,04-03-2011,1636263.41,0,59.58,213.8233327,7.742,3.288
1,11-03-2011,1553191.63,0,53.56,214.1110564,7.742,3.459
1,18-03-2011,1576818.06,0,62.76,214.3627114,7.742,3.488
1,25-03-2011,1541102.38,0,69.97,214.5999389,7.742,3.473
1,01-04-2011,1495064.75,0,59.17,214.8371664,7.682,3.524
1,08-04-2011,1614259.35,0,67.84,215.0743939,7.682,3.622
1,15-04-2011,1559889,0,71.27,215.2918561,7.682,3.743
1,22-04-2011,1564819.81,0,72.99,215.4599053,7.682,3.807
1,29-04-2011,1455090.69,0,72.03,215.6279544,7.682,3.81
1,06-05-2011,1629391.28,0,64.61,215.7960035,7.682,3.906
1,13-05-2011,1604775.58,0,75.64,215.9640526,7.682,3.899
1,20-05-2011,1428218.27,0,67.63,215.7339202,7.682,3.907
1,27-05-2011,1466046.67,0,77.72,215.5037878,7.682,3.786
1,03-06-2011,1635078.41,0,83,215.2736553,7.682,3.699
1,10-06-2011,1588948.32,0,83.13,215.0435229,7.682,3.648
1,17-06-2011,1532114.86,0,86.41,214.9980596,7.682,3.637
1,24-06-2011,1438830.15,0,83.58,215.0910982,7.682,3.594
1,01-07-2011,1488538.09,0,85.55,215.1841368,7.962,3.524
1,08-07-2011,1534849.64,0,85.83,215.2771754,7.962,3.48
1,15-07-2011,1455119.97,0,88.54,215.3611087,7.962,3.575
1,22-07-2011,1396926.82,0,85.77,215.4222784,7.962,3.651
1,29-07-2011,1352219.79,0,86.83,215.4834482,7.962,3.682
1,05-08-2011,1624383.75,0,91.65,215.544618,7.962,3.684
1,12-08-2011,1525147.09,0,90.76,215.6057878,7.962,3.638
1,19-08-2011,1530761.43,0,89.94,215.6693107,7.962,3.554
1,26-08-2011,1464693.46,0,87.96,215.7332258,7.962,3.523
1,02-09-2011,1550229.22,0,87.83,215.7971409,7.962,3.533
1,09-09-2011,1540471.24,1,76,215.861056,7.962,3.546
1,16-09-2011,1514259.78,0,79.94,216.0410526,7.962,3.526
1,23-09-2011,1380020.27,0,75.8,216.3758246,7.962,3.467
1,30-09-2011,1394561.83,0,79.69,216.7105965,7.962,3.355
1,07-10-2011,1630989.95,0,69.31,217.0453684,7.866,3.285
1,14-10-2011,1493525.93,0,71.74,217.3552733,7.866,3.274
1,21-10-2011,1502562.78,0,63.71,217.5159762,7.866,3.353
1,28-10-2011,1445249.09,0,66.57,217.6766791,7.866,3.372
1,04-11-2011,1697229.58,0,54.98,217.837382,7.866,3.332
1,11-11-2011,1594938.89,0,59.11,217.9980849,7.866,3.297
1,18-11-2011,1539483.7,0,62.25,218.2205088,7.866,3.308
1,25-11-2011,2033320.66,1,60.14,218.4676211,7.866,3.236
1,02-12-2011,1584083.95,0,48.91,218.7147333,7.866,3.172
1,09-12-2011,1799682.38,0,43.93,218.9618456,7.866,3.158
1,16-12-2011,1881176.67,0,51.63,219.1794533,7.866,3.159
1,23-12-2011,2270188.99,0,47.96,219.3577216,7.866,3.112
1,30-12-2011,1497462.72,1,44.55,219.5359898,7.866,3.129
1,06-01-2012,1550369.92,0,49.01,219.7142581,7.348,3.157
1,13-01-2012,1459601.17,0,48.53,219.8925263,7.348,3.261
1,20-01-2012,1394393.84,0,54.11,219.9856893,7.348,3.268
1,27-01-2012,1319325.59,0,54.26,220.0788523,7.348,3.29
1,03-02-2012,1636339.65,0,56.55,220.1720153,7.348,3.36
1,10-02-2012,1802477.43,1,48.02,220.2651783,7.348,3.409
1,17-02-2012,1819870,0,45.32,220.4257586,7.348,3.51
1,24-02-2012,1539387.83,0,57.25,220.636902,7.348,3.555
1,02-03-2012,1688420.76,0,60.96,220.8480454,7.348,3.63
1,09-03-2012,1675431.16,0,58.76,221.0591887,7.348,3.669
1,16-03-2012,1677472.78,0,64.74,221.2118132,7.348,3.734
1,23-03-2012,1511068.07,0,65.93,221.2864126,7.348,3.787
1,30-03-2012,1649604.63,0,67.61,221.3610119,7.348,3.845
1,06-04-2012,1899676.88,0,70.43,221.4356112,7.143,3.891
1,13-04-2012,1621031.7,0,69.07,221.5102105,7.143,3.891
